,双百企业名单
0,中核第四研究设计工程有限公司
1,中核控制系统工程有限公司
2,中国核工业华兴建设有限公司
3,中国核工业二三建设有限公司
4,北京神舟航天软件技术有限公司
5,上海航天设备制造总厂有限公司
6,航天时代电子技术股份有限公司
7,湖南航天有限责任公司
8,航天云网科技发展有限责任公司
9,航天科工空间工程发展有限公司
10,海鹰航空通用装备有限责任公司
11,航天科工火箭技术有限公司
12,中航通用飞机有限责任公司
13,中国航空技术国际控股有限公司
14,中航机载系统有限公司
15,中国船舶（香港）航运租赁有限公司
16,九江精达检测技术有限公司
17,重庆前卫科技集团有限公司
18,中船重工（邯郸）派瑞特种气体有限公司
19,山西汾西重工有限责任公司
20,武汉重型机床集团有限公司
21,内蒙古北方重工业集团有限公司
22,万友汽车投资有限公司
23,四川华川工业有限公司
24,华中药业股份有限公司
25,中国电子科技网络信息安全有限公司
26,中电力神有限公司
27,中电科电子装备集团有限公司
28,中国航发商用发动机有限责任公司
29,中国航发湖南南方宇航工业有限公司
30,中国石油天然气股份有限公司吐哈油田分公司
31,中国石油集团渤海石油装备制造有限公司
32,昆仑能源有限公司
33,中国石化润滑油有限公司
34,中石化石油机械股份有限公司
35,中石化易捷销售有限公司
36,中海油田服务股份有限公司
37,中海油安全技术服务有限公司
38,南瑞集团有限公司
39,国网电动汽车服务有限公司
40,国网江苏综合能源服务有限公司
41,国网电子商务有限公司（国网雄安金融科技集团）
42,平高集团有限公司
43,浙江省送变电工程有限公司
44,国中康健集团有限公司
45,深圳供电局有限公司
46,南方电网综合能源有限公司
47,广东省输变电工程有限公司
48,南方电网科学研究院有限公司
49,广州穗能通综合能源有限责任公司
50,华能新能源股份有限公司
51,山东新能泰山发电股份有限公司
52,华能资本服务有限公司
53,四川华能能源销售有限公司
54,大唐京津冀能源开发有限公司
55,大唐环境产业集团股份有限公司
56,华电江苏能源有限公司
57,华电重工股份有限公司
58,上海电力股份有限公司
59,国家电投集团内蒙古能源有限公司
60,中国电力国际有限公司
61,中国长江电力股份有限公司
62,三峡资本控股有限责任公司
63,中国水利电力对外有限公司
64,神华包神铁路集团有限责任公司
65,北京国电龙源环保工程有限公司
66,国电联合动力技术有限公司
67,中国通信服务股份有限公司
68,天翼电子商务有限公司
69,联通智网科技有限公司
70,中国联合网络通信有限公司云南省分公司
71,咪咕文化科技有限公司
72,中国移动通信集团终端有限公司
73,中移在线服务有限公司
74,中国长城科技集团股份有限公司
75,华大半导体有限公司
76,中国电子系统技术有限公司
77,一汽吉林汽车有限公司
78,一汽模具制造有限公司
79,长春一汽富维汽车零部件股份有限公司
80,东风畅行（武汉）科技股份有限公司
81,东风锻造有限公司
82,东风鸿泰控股集团有限公司
83,一重集团大连工程技术有限公司
84,中国第一重型机械集团大连加氢反应器制造有限公司
85,中工国际工程股份有限公司
86,中国联合工程有限公司
87,中国恒天集团有限公司
88,中国中元国际工程有限公司
89,哈尔滨汽轮机厂有限责任公司
90,哈电集团哈尔滨电站阀门有限公司
91,东方电气集团东方锅炉股份有限公司
92,东方电气风电有限公司
93,鞍钢集团矿业有限公司
94,成都积微物联集团股份有限公司
95,鞍钢集团工程技术有限公司
96,宝山钢铁股份有限公司
97,武钢集团有限公司
98,宝武特种冶金有限公司
99,宝钢金属有限公司
100,上海宝钢包装股份有限公司
101,飞马智科信息技术股份有限公司
102,西南铝业（集团）有限责任公司
103,中铝华中铜业有限公司
104,中远海运集装箱运输有限公司
