,双百企业名单
0,中核第四研究设计工程有限公司
1,中核控制系统工程有限公司
2,中国核工业华兴建设有限公司
3,中国核工业二三建设有限公司
4,北京神舟航天软件技术有限公司
5,上海航天设备制造总厂有限公司
6,湖南航天有限责任公司
7,航天云网科技发展有限责任公司
8,航天科工空间工程发展有限公司
9,海鹰航空通用装备有限责任公司
10,航天科工火箭技术有限公司
11,中航通用飞机有限责任公司
12,中国航空技术国际控股有限公司
13,中航机载系统有限公司
14,中国船舶（香港）航运租赁有限公司
15,九江精达检测技术有限公司
16,重庆前卫科技集团有限公司
17,中船重工（邯郸）派瑞特种气体有限公司
18,山西汾西重工有限责任公司
19,武汉重型机床集团有限公司
20,内蒙古北方重工业集团有限公司
21,万友汽车投资有限公司
22,四川华川工业有限公司
23,中国电子科技网络信息安全有限公司
24,中电力神有限公司
25,中电科电子装备集团有限公司
26,中国航发商用发动机有限责任公司
27,中国航发湖南南方宇航工业有限公司
28,中国石油集团渤海石油装备制造有限公司
29,昆仑能源有限公司
30,中国石化润滑油有限公司
31,中石化易捷销售有限公司
32,中海油安全技术服务有限公司
33,南瑞集团有限公司
34,国网电动汽车服务有限公司
35,国网江苏综合能源服务有限公司
36,国网电子商务有限公司（国网雄安金融科技集团）
37,平高集团有限公司
38,浙江省送变电工程有限公司
39,国中康健集团有限公司
40,深圳供电局有限公司
41,南方电网综合能源有限公司
42,广东省输变电工程有限公司
43,南方电网科学研究院有限公司
44,广州穗能通综合能源有限责任公司
45,华能资本服务有限公司
46,四川华能能源销售有限公司
47,大唐京津冀能源开发有限公司
48,华电江苏能源有限公司
49,国家电投集团内蒙古能源有限公司
50,中国电力国际有限公司
51,三峡资本控股有限责任公司
52,中国水利电力对外有限公司
53,神华包神铁路集团有限责任公司
54,北京国电龙源环保工程有限公司
55,国电联合动力技术有限公司
56,天翼电子商务有限公司
57,联通智网科技有限公司
58,中国联合网络通信有限公司云南省分公司
59,咪咕文化科技有限公司
60,中国移动通信集团终端有限公司
61,中移在线服务有限公司
62,华大半导体有限公司
63,中国电子系统技术有限公司
64,一汽吉林汽车有限公司
65,一汽模具制造有限公司
66,东风锻造有限公司
67,东风鸿泰控股集团有限公司
68,一重集团大连工程技术有限公司
69,中国第一重型机械集团大连加氢反应器制造有限公司
70,中国联合工程有限公司
71,中国恒天集团有限公司
72,中国中元国际工程有限公司
73,哈尔滨汽轮机厂有限责任公司
74,哈电集团哈尔滨电站阀门有限公司
75,东方电气风电有限公司
76,鞍钢集团矿业有限公司
77,鞍钢集团工程技术有限公司
78,武钢集团有限公司
79,宝武特种冶金有限公司
80,宝钢金属有限公司
81,西南铝业（集团）有限责任公司
82,中铝华中铜业有限公司
83,中远海运集装箱运输有限公司
84,宁波中远海运物流有限公司
85,中国国际货运航空有限公司
86,东方航空物流有限公司
87,中国联合航空有限公司
88,南航货运物流公司
89,南航通用航空有限公司
90,中粮酒业投资有限公司
91,中冶赛迪集团有限公司
92,中国有色工程有限公司
93,中国十七冶集团有限公司
94,中冶南方工程技术有限公司
95,中国纺织科学研究院有限公司
96,沈阳机床（集团）有限责任公司
97,中建水务环保有限公司
98,中建一局集团第二建筑有限公司
99,中国储备棉管理有限公司
100,中央储备粮顺义直属库有限公司
101,中央储备粮榆树直属库有限公司
102,中国国投高新产业投资有限公司
103,国投生物科技投资有限公司
104,招商局重庆交通科研设计院有限公司
105,招商路凯国际控股有限公司
