,双百企业名单
0,湖南航天有限责任公司
1,航天云网科技发展有限责任公司
2,海鹰航空通用装备有限责任公司
3,中航通用飞机有限责任公司
4,山西汾西重工有限责任公司
5,中国航发商用发动机有限责任公司
6,中国南方电网有限责任公司
7,广州穗能通综合能源有限责任公司
8,三峡资本控股有限责任公司
9,国家能源投资集团有限责任公司
10,神华包神铁路集团有限责任公司
11,哈尔滨汽轮机厂有限责任公司
12,西南铝业（集团）有限责任公司
13,中国通用技术（集团）控股有限责任公司
14,沈阳机床（集团）有限责任公司
15,中国商用飞机有限责任公司
16,中国煤矿机械装备有限责任公司
17,中煤西安设计工程有限责任公司
18,北京北矿亿博科技有限责任公司
19,中铁二院工程集团有限责任公司
20,北京国标建筑科技有限责任公司
21,正元地理信息有限责任公司
22,中国航空结算有限责任公司
23,中国民航技术装备有限责任公司
24,中国国新控股有限责任公司
25,北京能源集团有限责任公司
26,唐山钢铁集团有限责任公司
27,山西杏花村汾酒集团有限责任公司
28,山西焦煤集团有限责任公司
29,阳泉煤业（集团）有限责任公司
30,内蒙古交通投资（集团）有限责任公司
31,内蒙古电力集团综合能源有限责任公司
32,华宸信托有限责任公司
33,包头钢铁（集团）有限责任公司
34,辽宁省交通规划设计院有限责任公司
35,凌源钢铁集团有限责任公司
36,中国吉林森林工业集团有限责任公司
37,长春市热力（集团）有限责任公司
38,吉林化纤集团有限责任公司
39,江苏省盐业集团有限责任公司
40,南京旅游集团有限责任公司
41,中鼎国际建设集团有限责任公司
42,安阳钢铁集团有限责任公司
43,湖北省铁路建设投资集团有限责任公司
44,广西建工集团有限责任公司
45,四川省商业投资集团有限责任公司
46,四川航空集团有限责任公司
47,华西牙科有限责任公司
48,贵州盘江煤电集团有限责任公司
49,贵州中建伟业建设工程有限责任公司
50,贵州金州电力有限责任公司
51,云南锡业集团（控股）有限责任公司
52,陕西环保固体废物处置利用有限责任公司
53,新疆通用航空有限责任公司
54,新疆生产建设兵团建设工程（集团）有限责任公司
55,瓦房店轴承集团有限责任公司
56,双星集团有限责任公司
